,Song,clusters
0,I Need You,0
1,Sweet Lady,7
2,You Take My Breath Away - Mono Version,11
3,If I Give My Heart to You (with The Mellomen),10
4,Don't Forget About Us (As Made Famous By Mariah Carey),9
5,Always,12
6,I Saw Red,2
7,Hands Clean,0
8,Here (In Your Arms),9
9,One More Try - Remastered,16
10,Back To December,7
11,Fast Car,2
12,Throwing It All Away - 2007 Remaster,18
13,Hurt,17
14,Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),2
15,Cherish,1
16,Think I'm In Love,18
17,I Don't Wanna,2
18,Strangers In The Night,10
19,hot girl bummer,7
20,Love You Like A Love Song,17
21,Meet Me Halfway,19
22,We Don't Talk Anymore - 2001 Remaster,12
23,Another Night,0
24,Dark Lady,10
25,The Rock And Roll Waltz,6
26,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",5
27,Break It To Me Gently,6
28,Party Girl,19
29,Washington Square,16
30,Little Bitty Girl,19
31,Bad Moon Rising,6
32,lately - Demo,9
33,Just Fine,8
34,Ole Buttermilk Sky,2
35,Sweet Little Sixteen,10
36,"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970",9
37,No More Tears,13
38,Venus,6
39,That's The Way Love Is,0
40,Al di là,19
41,Master Blaster (Jammin'),19
42,Passionfruit,19
43,Goodnight Irene,17
44,Love Me Tender,7
45,Nights In White Satin - Single Version / Mono,18
46,Are You Jimmy Ray?,2
47,Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),7
48,Too Little Too Late,7
49,Dust in the Wind,1
50,I Don't Need You,11
51,Turn It Up / Fire It Up - Remix,8
52,Woo Hah!! Got You All in Check,17
53,Foolish Little Girl,2
54,Uptown Funk (feat. Bruno Mars),5
55,"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",7
56,"Baby, I Love Your Way - Live",1
57,DNA.,5
58,Back Here,17
59,Justified & Ancient,17
60,I Hate Myself for Loving You,0
61,I Miss You,17
62,Tennessee,0
63,Step by Step,2
64,Comin' In and out of Your Life,16
65,It's So Hard To Say Goodbye To Yesterday,8
66,To Be With You - 2021 Remastered,12
67,I Wish,12
68,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),12
69,If I Knew You Were Comin' I'd've Baked a Cake,6
70,Lady Willpower,18
71,I Made It (Cash Money Heroes),8
72,Do You Believe in Magic?,18
73,Sexy Eyes - Single Version,17
74,All By Myself,10
75,How to Save a Life,12
76,3,9
77,Heaven Help Me,19
78,Sober,5
79,Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,19
80,Vision of Love,2
81,Somebody,8
82,Next To Me,17
83,Missing - 2013 Remaster,2
84,Fuck You,9
85,Daydream Believer,1
86,Every Time I Close My Eyes (with Kenny G),7
87,Baby I Need Your Loving,10
88,Margaritaville,10
89,Here Comes My Baby,10
90,"Bend Me, Shape Me - Single Version",19
91,Enjoy the Silence,5
92,Irreplaceable,19
93,My Best Friend,2
94,Make It Happen,12
95,Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],5
96,Everybody Talks,17
97,Born to Be With You,19
98,"Bump, Bump, Bump (feat. P. Diddy)",13
99,Suga Suga,8
100,Love Lockdown,7
101,(We're Gonna) Rock Around The Clock,16
102,Sunny Came Home,7
103,No More Drama,7
104,Good Vibrations,2
105,Replay,9
106,I Found Someone,17
107,Wildest Dreams (Taylor's Version),9
108,Sexy And I Know It,17
109,How You Gonna See Me Now,1
110,No Matter What Shape (Your Stomach's In),17
111,Go Away Little Girl,16
112,Karaoke - Landslide,17
113,Partition,7
114,Addict,19
115,Bootylicious,1
116,Just A Girl,12
117,One Less Bell To Answer,18
118,Save Your Heart For Me,6
119,Green-Eyed Lady,10
120,Nobody's Supposed to Be Here,12
121,I Feel for You,2
122,Rude Boy,7
123,When She Cries,2
124,My House,5
125,The Most Beautiful Girl In the World,7
126,Tweedle Dee,17
127,Vaya Con Dios,10
128,Walk It Out,9
129,Take It to the Limit - 2013 Remaster,1
130,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",4
131,Twenty Five Miles,10
132,"Me, Myself and I",19
133,Jambalaya (On The Bayou),17
134,Playground In My Mind - Single Version,10
135,Rollout (My Business),8
136,Run This Town,13
137,Lay Down (Candles In The Rain) - Long Version,2
138,With A Little Luck - Remastered 1993,4
139,Like a Boy,2
140,A Tree In The Meadow - Remastered 1990,10
141,SexyBack (feat. Timbaland),12
142,Melody Of Love,10
143,I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],7
144,Hocus Pocus,17
145,Friday I'm in Love,0
146,Best I Ever Had,5
147,God's Country,19
148,"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",7
149,4 Minutes (feat. Justin Timberlake & Timbaland),7
150,When Will I Be Loved,18
151,Dream About You - Pop Mix,2
152,I Do,17
153,Same Love (feat. Mary Lambert),9
154,Read Your Mind,17
155,Louie Louie,19
156,Wrecking Ball,9
157,Shawty (feat. T Pain),13
158,Spinning Wheel,18
159,Take a Bow,7
160,Into The Night,10
161,Take Me Home,10
162,Girlfriend,5
