Song,Album Release Date,Hot100 Ranking Year,Decade,Season
I Need You,2001-01-30,2001,new millennium,Winter
Sweet Lady,1998-08-31,1999,Nighnties,Summer
You Take My Breath Away - Mono Version,1979-04-14,1979,Seventies,Spring
If I Give My Heart to You (with The Mellomen),1945-02-08,1954,Fourties,Winter
Don't Forget About Us (As Made Famous By Mariah Carey),2011-08-16,2011,new millennium,Summer
Always,1994-10-18,1995,Nighnties,Autumn
I Saw Red,1990-05-01,1991,Nighnties,Spring
Hands Clean,2002-02-25,2002,new millennium,Winter
Here (In Your Arms),2006-08-08,2007,new millennium,Summer
One More Try - Remastered,1987-10-30,1988,Eighties,Autumn
Back To December,2010-10-25,2011,new millennium,Autumn
Fast Car,1988-04-05,1988,Eighties,Spring
Throwing It All Away - 2007 Remaster,1986-06-09,1986,Eighties,Summer
Hurt,1992-01-01,1992,Nighnties,Winter
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),2006-05-08,2006,new millennium,Spring
Cherish,1966-05-08,1966,Sixties,Spring
Think I'm In Love,1983-06-08,1983,Eighties,Summer
I Don't Wanna,2005-05-10,2005,new millennium,Spring
Strangers In The Night,1966-05-01,1966,Sixties,Spring
hot girl bummer,2020-08-21,2020,new millennium,Summer
Love You Like A Love Song,2011-01-01,2012,new millennium,Winter
Meet Me Halfway,2023-01-31,2023,new millennium,Winter
We Don't Talk Anymore - 2001 Remaster,1979-11-12,1980,Seventies,Autumn
Another Night,1995-03-28,1995,Nighnties,Spring
Dark Lady,1973-01-01,1974,Seventies,Winter
The Rock And Roll Waltz,1964-06-01,1964,Sixties,Summer
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010-03-09,2012,new millennium,Spring
Break It To Me Gently,1963-09-12,1963,Sixties,Autumn
Party Girl,2020-04-21,2020,new millennium,Spring
Washington Square,1963-11-26,1963,Sixties,Autumn
Little Bitty Girl,2021-06-18,2021,new millennium,Summer
Bad Moon Rising,1969-08-03,1969,Sixties,Summer
lately - Demo,2022-12-07,2022,new millennium,Winter
Just Fine,2007-01-01,2008,new millennium,Winter
Ole Buttermilk Sky,2000-05-09,2000,new millennium,Spring
Sweet Little Sixteen,1958-03-01,1958,Fifties,Spring
"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970",2021-11-12,2021,new millennium,Autumn
No More Tears,1991-09-17,1991,Nighnties,Autumn
Venus,1969-09-05,1970,Sixties,Autumn
That's The Way Love Is,1969-04-30,1969,Sixties,Spring
Al di là,2016-04-29,2016,new millennium,Spring
Master Blaster (Jammin'),2023-05-18,2023,new millennium,Spring
Passionfruit,2017-03-18,2017,new millennium,Spring
Goodnight Irene,1996-01-01,1996,Nighnties,Winter
Love Me Tender,2002-09-24,2002,new millennium,Autumn
Nights In White Satin - Single Version / Mono,1967-11-10,1972,Sixties,Autumn
Are You Jimmy Ray?,1998-03-10,1998,Nighnties,Spring
Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),2009-09-21,2009,new millennium,Autumn
Too Little Too Late,2006-10-17,2006,new millennium,Autumn
Dust in the Wind,1977-04-04,1978,Seventies,Spring
I Don't Need You,1981-06-15,1981,Eighties,Summer
Turn It Up / Fire It Up - Remix,2001-03-03,2001,new millennium,Spring
Woo Hah!! Got You All in Check,1996-03-03,1996,Nighnties,Spring
Foolish Little Girl,2005-04-05,2005,new millennium,Spring
Uptown Funk (feat. Bruno Mars),2015-01-12,2015,new millennium,Winter
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",1998-08-18,1998,Nighnties,Summer
"Baby, I Love Your Way - Live",1976-05-06,1976,Seventies,Spring
DNA.,2017-04-14,2017,new millennium,Spring
Back Here,2000-01-01,2000,new millennium,Winter
Justified & Ancient,2021-01-01,2021,new millennium,Winter
I Hate Myself for Loving You,1988-05-23,1988,Eighties,Spring
I Miss You,1993-01-01,1994,Nighnties,Winter
Tennessee,1992-03-24,1992,Nighnties,Spring
Step by Step,1990-06-04,1990,Nighnties,Summer
Comin' In and out of Your Life,1981-08-15,1982,Eighties,Summer
It's So Hard To Say Goodbye To Yesterday,2009-01-01,2009,new millennium,Winter
To Be With You - 2021 Remastered,1991-10-15,1992,Nighnties,Autumn
I Wish,2000-11-07,2001,new millennium,Autumn
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),2003-12-02,2004,new millennium,Winter
If I Knew You Were Comin' I'd've Baked a Cake,1952-12-03,1952,Fifties,Winter
Lady Willpower,1968-07-10,1968,Sixties,Summer
I Made It (Cash Money Heroes),2010-01-01,2010,new millennium,Winter
Do You Believe in Magic?,1965-11-01,1965,Sixties,Autumn
Sexy Eyes - Single Version,1992-01-01,1992,Nighnties,Winter
All By Myself,1975-01-01,1976,Seventies,Winter
How to Save a Life,2005-09-13,2006,new millennium,Autumn
3,2009-11-09,2009,new millennium,Autumn
Heaven Help Me,2010-02-25,2010,new millennium,Winter
Sober,2023-05-14,2023,new millennium,Spring
Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,2017-05-24,2017,new millennium,Spring
Vision of Love,1990-06-12,1990,Nighnties,Summer
Somebody,2014-01-06,2015,new millennium,Winter
Next To Me,2012-01-01,2013,new millennium,Winter
Missing - 2013 Remaster,1994-06-13,1996,Nighnties,Summer
Fuck You,2010-11-09,2011,new millennium,Autumn
Daydream Believer,1968-04-22,1968,Sixties,Spring
Every Time I Close My Eyes (with Kenny G),1996-10-29,1997,Nighnties,Autumn
