Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Bewitched,1899-12-31,1950,Old,Winter
I'm Gonna Sit Right Down and Write Myself a Letter,1900-01-06,1957,Old,Winter
To Each His Own,1932-05-06,1946,Thirties,Spring
Underneath the Arches,1932-03-18,1948,Thirties,Spring
Chattanooga Choo Choo,1939-03-11,1946,Thirties,Spring
White Christmas,1942-01-01,1947,Fourties,Winter
(Oh Baby Mine) I Get so Lonely,1944-04-14,1954,Fourties,Spring
If I Give My Heart to You (with The Mellomen),1945-02-08,1954,Fourties,Winter
It's Magic (with George Sirava and His Orchestra) - Version 1 - Take 6,1945-07-14,1948,Fourties,Summer
Love Somebody,1945-04-01,1948,Fourties,Spring
Unchained Melody,1946-04-15,1955,Fourties,Spring
This Ole House - Single Version,1948-05-12,1954,Fourties,Spring
"Managua, Nicaragua",1948-05-06,1948,Fourties,Spring
"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",1948-06-01,1956,Fourties,Summer
Symphony,1948-05-06,1948,Fourties,Spring
Botch-A-Me (Ba-Ba-Baciami Piccina),1948-05-14,1952,Fourties,Spring
Come On-A My House,1948-06-14,1951,Fourties,Summer
Half As Much (with Percy Faith & His Orchestra),1948-06-05,1952,Fourties,Summer
"Let It Snow, Let It Snow, Let It Snow",1949-12-03,1949,Fourties,Winter
Dance Ballerina Dance,1949-12-03,1949,Fourties,Winter
Sound Off,1949-12-03,1951,Fourties,Winter
You Do,1949-12-03,1949,Fourties,Winter
Dance Ballerina Dance,1949-12-03,1949,Fourties,Winter
It Only Hurts for a Little While,1950-11-26,1956,Fifties,Autumn
"You, You, You",1950-11-26,1953,Fifties,Autumn
"Doctor, Lawyer, Indian Chief",1950-01-01,1950,Fifties,Winter
The Thing,1950-04-20,1951,Fifties,Spring
The Yellow Rose of Texas - Single Version,1950-01-01,1955,Fifties,Winter
My Foolish Heart,1950-01-01,1950,Fifties,Winter
Singing the Blues,1950-04-07,1956,Fifties,Spring
Ataypura!,1950-01-01,1951,Fifties,Winter
"Let Me Go, Lover",1950-04-12,1955,Fifties,Spring
The Naughty Lady of Shady Lane,1950-11-26,1955,Fifties,Autumn
Sentimental Me,1950-11-26,1950,Fifties,Autumn
"You, You, You",1950-11-26,1951,Fifties,Autumn
The Thing,1950-04-03,1950,Fifties,Spring
If I Knew You Were Comin' I'd've Baked a Cake,1952-12-03,1952,Fifties,Winter
Till I Waltz Again With You,1952-12-01,1953,Fifties,Winter
So Rare,1953-12-03,1957,Fifties,Winter
Have You Heard,1953-12-17,1953,Fifties,Winter
How High The Moon,1953-01-01,1953,Fifties,Winter
Your Cheatin' Heart,1953-12-17,1953,Fifties,Winter
Vaya Con Dios,1953-01-01,1953,Fifties,Winter
Meet Mister Callaghan,1953-01-01,1953,Fifties,Winter
The World Is Waiting For The Sunrise,1953-01-01,1953,Fifties,Winter
Serenade Of The Bells,1953-01-01,1953,Fifties,Winter
Standing On the Corner,1953-07-19,1956,Fifties,Summer
