Song,Artist(s) Genres,Genres count,Weight,total weight of genres
I Need You,"{' country', 'country dawn', ' contemporary country', ' country road'}",4,478,1912
Sweet Lady,"{' contemporary r&b', ' urban contemporary', ' r&b', 'hip pop'}",4,1718,6872
You Take My Breath Away - Mono Version,{'bubblegum pop'},1,47,47
If I Give My Heart to You (with The Mellomen),"{' movie tunes', ' easy listening', ' vocal jazz', 'adult standards', ' lounge'}",5,493,2465
Don't Forget About Us (As Made Famous By Mariah Carey),{'karaoke'},1,177,177
Always,"{'glam metal', ' rock'}",2,739,1478
I Saw Red,"{'glam metal', ' album rock', ' hard rock'}",3,984,2952
Hands Clean,"{' neo mellow', 'canadian singer-songwriter', ' lilith', ' pop rock', ' canadian pop', ' singer-songwriter'}",6,830,4980
Here (In Your Arms),"{' neon pop punk', 'pop punk'}",2,46,92
One More Try - Remastered,{'new wave pop'},1,302,302
Back To December,{'pop'},1,588,588
Fast Car,"{' ""womens music"" ', 'lilith', 'singer-songwriter '}",3,21,63
Throwing It All Away - 2007 Remaster,"{' soft rock', ' rock', ' classic rock', 'art rock', ' symphonic rock', ' album rock', ' mellow gold', ' progressive rock', ' hard rock'}",9,3811,34299
Hurt,{'northern soul'},1,14,14
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),"{' skiffle', 'music hall'}",2,5,10
Cherish,"{' classic garage rock', ' soft rock', 'folk rock', ' sunshine pop', ' mellow gold', ' singer-songwriter', ' country rock', ' bubblegum pop'}",8,2672,21376
Think I'm In Love,"{'glam metal', ' soft rock', ' classic rock', ' southern rock', ' album rock', ' mellow gold', ' country rock', ' hard rock'}",8,3412,27296
I Don't Wanna,"{' urban contemporary', ' r&b', ' contemporary r&b', 'hip pop', ' dance pop'}",5,2272,11360
Strangers In The Night,"{' adult standards', 'easy listening', ' lounge'}",3,590,1770
hot girl bummer,"{' alt z', 'pop'}",2,597,1194
Love You Like A Love Song,{'pop'},1,588,588
Meet Me Halfway,,0,0,0
We Don't Talk Anymore - 2001 Remaster,"{' adult standards', 'rock-and-roll'}",2,566,1132
Another Night,"{' eurodance', 'german techno', ' diva house', ' hip house'}",4,85,340
Dark Lady,"{' dance pop', 'pop'}",2,1142,2284
The Rock And Roll Waltz,{'torch song'},1,14,14
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","{' dance pop', 'pop'}",2,1142,2284
Break It To Me Gently,"{' adult standards', 'easy listening', ' lounge', ' rockabilly'}",4,768,3072
Party Girl,{'melodic rap'},1,51,51
Washington Square,,0,0,0
Little Bitty Girl,"{' rock-and-roll', ' bubblegum pop', 'doo-wop', ' adult standards', ' rockabilly'}",5,1229,6145
Bad Moon Rising,"{' rock', ' classic rock', ' southern rock', ' swamp rock', 'country rock'}",5,1396,6980
lately - Demo,,0,0,0
Just Fine,"{' neo soul', ' urban contemporary', ' r&b', 'dance pop'}",4,1720,6880
Ole Buttermilk Sky,,0,0,0
Sweet Little Sixteen,"{' rock-and-roll', ' rock', ' classic rock', ' blues rock', 'rockabilly', ' blues', ' soul'}",7,2210,15470
"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970",,0,0,0
No More Tears,"{'glam metal', ' nu metal', ' rock', ' classic rock', ' metal', ' album rock', ' alternative metal', ' hard rock', ' birmingham metal'}",9,2387,21483
Venus,{'nederpop'},1,6,6
That's The Way Love Is,"{' classic soul', 'soul', ' northern soul', ' quiet storm', ' motown', ' neo soul'}",6,1086,6516
Al di là,{'swing italiano'},1,2,2
Master Blaster (Jammin'),"{'motown', ' soul'}",2,410,820
Passionfruit,"{' rap', ' canadian hip hop', ' hip hop', 'toronto rap', ' canadian pop'}",5,1326,6630
Goodnight Irene,"{'folk', ' american folk revival'}",2,14,28
Love Me Tender,"{'rock-and-roll', ' rockabilly'}",2,318,636
Nights In White Satin - Single Version / Mono,"{'heartland rock', ' soft rock', ' art rock', ' rock', ' flute rock', ' classic rock', ' british invasion', ' symphonic rock', ' album rock', ' mellow gold', ' folk rock', ' singer-songwriter', ' country rock', ' progressive rock', ' hard rock'}",15,5151,77265
Are You Jimmy Ray?,,0,0,0
Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),{'karaoke'},1,177,177
Too Little Too Late,"{' dance pop', ' pop', 'post-teen pop'}",3,1151,3453
Dust in the Wind,"{'heartland rock', ' soft rock', ' rock', ' classic rock', ' album rock', ' mellow gold', ' progressive rock', ' hard rock'}",8,4015,32120
I Don't Need You,"{'country', ' classic country pop', ' nashville sound'}",3,139,417
Turn It Up / Fire It Up - Remix,"{' rap', ' hardcore hip hop', ' hip hop', 'east coast hip hop', ' pop rap'}",5,1548,7740
Woo Hah!! Got You All in Check,"{' rap', 'east coast hip hop', ' hip hop', ' hardcore hip hop', ' pop rap'}",5,1548,7740
Foolish Little Girl,"{' classic girl group', ' rock-and-roll', 'doo-wop', ' motown', ' soul'}",5,995,4975
Uptown Funk (feat. Bruno Mars),"{' pop soul', ' dance pop', 'pop'}",3,1160,3480
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack","{' rock', ' album rock', 'classic rock', ' hard rock'}",4,1536,6144
"Baby, I Love Your Way - Live","{' soft rock', ' rock', ' classic rock', ' album rock', 'british blues', ' folk rock', ' heartland rock', ' country rock', ' mellow gold', ' singer-songwriter', ' hard rock'}",11,4706,51766
DNA.,"{' west coast rap', ' hip hop', 'conscious hip hop', ' rap'}",4,1148,4592
Back Here,{'boy band'},1,22,22
Justified & Ancient,"{' hip house', ' ambient house', ' acid house', 'big beat'}",4,27,108
I Hate Myself for Loving You,"{'glam punk', ' rock'}",2,627,1254
I Miss You,"{' new jack swing', 'contemporary r&b', ' r&b'}",3,1028,3084
Tennessee,"{' hip hop', ' conscious hip hop', ' old school atlanta hip hop', 'atl hip hop'}",4,567,2268
Step by Step,{'boy band'},1,22,22
Comin' In and out of Your Life,"{'operatic pop', ' adult standards'}",2,433,866
It's So Hard To Say Goodbye To Yesterday,"{' urban contemporary', ' r&b', ' boy band', 'new jack swing', ' contemporary r&b'}",5,1678,8390
To Be With You - 2021 Remastered,"{'glam metal', ' hard rock'}",2,437,874
I Wish,,0,0,0
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),"{' urban contemporary', ' r&b', ' neo soul', 'deep talent show', ' contemporary r&b', ' new jack swing', ' pop'}",7,2385,16695
If I Knew You Were Comin' I'd've Baked a Cake,{'deep adult standards'},1,52,52
Lady Willpower,"{' rock-and-roll', ' bubblegum pop', ' soft rock', 'folk rock', ' mellow gold', ' country rock', ' adult standards', ' rockabilly', ' merseybeat'}",9,3198,28782
I Made It (Cash Money Heroes),"{' dance pop', ' dirty south rap', ' trap', ' rap', ' new orleans rap', ' hip hop', ' pop rap', ' wrestling', ' southern hip hop', 'pop'}",10,3335,33350
Do You Believe in Magic?,"{' psychedelic rock', ' rock-and-roll', ' soft rock', 'folk rock', ' classic rock', ' mellow gold', ' country rock', ' folk'}",8,3328,26624
Sexy Eyes - Single Version,"{'country rock', ' mellow gold', ' soft rock'}",3,1560,4680
All By Myself,"{' mellow gold', 'new wave pop', ' soft rock', ' yacht rock'}",4,1954,7816
How to Save a Life,"{'neo mellow', ' piano rock', ' pop', ' pop rock'}",4,837,3348
3,"{' dance pop', 'pop'}",2,1142,2284
Heaven Help Me,{'sophisti-pop'},1,3,3
Sober,,0,0,0
Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,,0,0,0
Vision of Love,"{' dance pop', ' pop', 'urban contemporary'}",3,1206,3618
Somebody,"{' viral trap', ' urban contemporary', ' trap', 'chicago rap', ' r&b', ' pop rap', ' southern hip hop'}",7,2192,15344
Next To Me,"{'talent show', ' r&b'}",2,694,1388
Missing - 2013 Remaster,"{' trip hop', 'new wave pop', ' sophisti-pop'}",3,337,1011
Fuck You,{'atl hip hop'},1,14,14
Daydream Believer,"{' rock-and-roll', ' soft rock', 'folk rock', ' sunshine pop', ' classic rock', ' album rock', ' mellow gold', ' singer-songwriter', ' heartland rock', ' beatlesque', ' bubblegum pop'}",11,4118,45298
Every Time I Close My Eyes (with Kenny G),"{' urban contemporary', ' smooth saxophone', ' r&b', 'new jack swing', ' contemporary r&b', ' smooth jazz'}",6,1596,9576
Baby I Need Your Loving,"{' classic soul', ' quiet storm', 'disco', ' motown', ' soul'}",5,1063,5315
Margaritaville,,0,0,0
Here Comes My Baby,"{' british invasion', 'beatlesque'}",2,146,292
"Bend Me, Shape Me - Single Version",,0,0,0
Enjoy the Silence,"{' new romantic', ' dance rock', ' rock', ' permanent wave', 'new wave'}",5,1181,5905
Irreplaceable,"{' r&b', 'pop'}",2,1258,2516
My Best Friend,"{'contemporary country', ' country', ' country road'}",3,353,1059
Make It Happen,"{'urban contemporary', ' pop', ' dance pop'}",3,1206,3618
Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],{'karaoke'},1,177,177
Everybody Talks,"{' pov: indie', ' neo mellow', 'modern rock', ' pop rock'}",4,191,764
Born to Be With You,"{' classic girl group', ' vocal harmony group', 'doo-wop'}",3,157,471
"Bump, Bump, Bump (feat. P. Diddy)","{' urban contemporary', ' r&b', ' boy band', ' rap', ' east coast hip hop', ' hip hop', ' contemporary r&b', ' pop rap', 'hip pop', ' dance pop'}",10,3961,39610
Suga Suga,"{' chicano rap', ' urban contemporary', ' texas latin rap', 'southern hip hop', ' hip pop', ' latin hip hop', ' pop rap'}",7,1209,8463
Love Lockdown,"{' hip hop', 'chicago rap', ' rap'}",3,1117,3351
(We're Gonna) Rock Around The Clock,"{'rock-and-roll', ' rockabilly'}",2,318,636
Sunny Came Home,"{' austin singer-songwriter', 'lilith', ' ectofolk', ' singer-songwriter', ' new wave pop', ' folk'}",6,835,5010
