Song,Hot100 Rank,Hot100 Ranking Year
I Need You,44,2001
Sweet Lady,43,1999
You Take My Breath Away - Mono Version,86,1979
If I Give My Heart to You (with The Mellomen),20,1954
Don't Forget About Us (As Made Famous By Mariah Carey),50,2011
Always,17,1995
I Saw Red,96,1991
Hands Clean,95,2002
Here (In Your Arms),81,2007
One More Try - Remastered,11,1988
Back To December,74,2011
Fast Car,76,1988
Throwing It All Away - 2007 Remaster,84,1986
Hurt,48,1992
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),79,2006
Cherish,7,1966
Think I'm In Love,58,1983
I Don't Wanna,96,2005
Strangers In The Night,8,1966
hot girl bummer,26,2020
Love You Like A Love Song,83,2012
Meet Me Halfway,58,2023
We Don't Talk Anymore - 2001 Remaster,45,1980
Another Night,63,1995
Dark Lady,33,1974
The Rock And Roll Waltz,10,1964
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",36,2012
Break It To Me Gently,26,1963
Party Girl,64,2020
Washington Square,75,1963
Little Bitty Girl,96,2021
Bad Moon Rising,24,1969
lately - Demo,31,2022
Just Fine,82,2008
Ole Buttermilk Sky,35,2000
Sweet Little Sixteen,29,1958
"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970",77,2021
No More Tears,38,1991
Venus,33,1970
That's The Way Love Is,72,1969
Al di là,48,2016
Master Blaster (Jammin'),69,2023
Passionfruit,65,2017
Goodnight Irene,1,1996
Love Me Tender,15,2002
Nights In White Satin - Single Version / Mono,32,1972
Are You Jimmy Ray?,65,1998
Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),86,2009
Too Little Too Late,72,2006
Dust in the Wind,39,1978
I Don't Need You,44,1981
Turn It Up / Fire It Up - Remix,73,2001
Woo Hah!! Got You All in Check,57,1996
Foolish Little Girl,47,2005
Uptown Funk (feat. Bruno Mars),1,2015
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",23,1998
"Baby, I Love Your Way - Live",89,1976
DNA.,62,2017
Back Here,33,2000
Justified & Ancient,86,2021
I Hate Myself for Loving You,85,1988
I Miss You,57,1994
Tennessee,40,1992
Step by Step,33,1990
Comin' In and out of Your Life,74,1982
It's So Hard To Say Goodbye To Yesterday,37,2009
To Be With You - 2021 Remastered,12,1992
I Wish,87,2001
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),34,2004
If I Knew You Were Comin' I'd've Baked a Cake,11,1952
Lady Willpower,34,1968
I Made It (Cash Money Heroes),80,2010
Do You Believe in Magic?,89,1965
Sexy Eyes - Single Version,25,1992
All By Myself,40,1976
How to Save a Life,27,2006
3,87,2009
Heaven Help Me,94,2010
Sober,38,2023
Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,41,2017
Vision of Love,6,1990
Somebody,41,2015
Next To Me,88,2013
Missing - 2013 Remaster,12,1996
Fuck You,7,2011
Daydream Believer,94,1968
Every Time I Close My Eyes (with Kenny G),26,1997
Baby I Need Your Loving,57,1965
Margaritaville,14,1977
Here Comes My Baby,89,1967
"Bend Me, Shape Me - Single Version",98,2006
Enjoy the Silence,66,2020
Irreplaceable,1,2007
My Best Friend,83,2000
Make It Happen,42,1992
Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],8,2013
Everybody Talks,22,2012
Born to Be With You,37,2010
"Bump, Bump, Bump (feat. P. Diddy)",22,2003
Suga Suga,77,2003
Love Lockdown,44,2009
(We're Gonna) Rock Around The Clock,2,1955
Sunny Came Home,39,1997
No More Drama,79,2002
Good Vibrations,20,1991
Replay,25,2010
I Found Someone,94,1988
Wildest Dreams (Taylor's Version),57,2021
Sexy And I Know It,13,2012
How You Gonna See Me Now,87,1979
No Matter What Shape (Your Stomach's In),59,2010
Go Away Little Girl,80,1965
Karaoke - Landslide,35,2005
Partition,95,2014
Addict,40,2020
Bootylicious,42,2001
Just A Girl,68,1996
One Less Bell To Answer,98,1971
Save Your Heart For Me,59,1965
Green-Eyed Lady,30,1970
Nobody's Supposed to Be Here,99,1998
I Feel for You,5,1985
Rude Boy,15,2010
When She Cries,76,1998
My House,14,2016
The Most Beautiful Girl In the World,19,1995
Tweedle Dee,16,1996
Vaya Con Dios,2,1953
Walk It Out,30,2007
Take It to the Limit - 2013 Remaster,25,1976
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",12,2017
Twenty Five Miles,69,1969
"Me, Myself and I",26,2004
Jambalaya (On The Bayou),15,2002
Playground In My Mind - Single Version,12,1973
Rollout (My Business),77,2002
Run This Town,31,2009
Lay Down (Candles In The Rain) - Long Version,23,1999
With A Little Luck - Remastered 1993,18,1978
Like a Boy,68,2007
A Tree In The Meadow - Remastered 1990,4,1954
SexyBack (feat. Timbaland),9,2006
Melody Of Love,12,1957
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],76,2016
Hocus Pocus,69,2001
Friday I'm in Love,71,1992
Best I Ever Had,22,2009
God's Country,53,2019
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",8,1999
4 Minutes (feat. Justin Timberlake & Timbaland),23,2009
When Will I Be Loved,47,1975
Dream About You - Pop Mix,92,1995
I Do,58,1998
