Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
I Need You,44,2001,FALSE,185
Sweet Lady,43,1999,FALSE,184
You Take My Breath Away - Mono Version,86,1979,FALSE,185
If I Give My Heart to You (with The Mellomen),20,1954,FALSE,185
Don't Forget About Us (As Made Famous By Mariah Carey),50,2011,FALSE,182
Always,17,1995,FALSE,184
I Saw Red,96,1991,FALSE,185
Hands Clean,95,2002,FALSE,184
Here (In Your Arms),81,2007,FALSE,185
One More Try - Remastered,11,1988,FALSE,185
Back To December,74,2011,FALSE,2
Fast Car,76,1988,FALSE,184
Throwing It All Away - 2007 Remaster,84,1986,FALSE,184
Hurt,48,1992,FALSE,184
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),79,2006,FALSE,3
Cherish,7,1966,FALSE,184
Think I'm In Love,58,1983,FALSE,185
I Don't Wanna,96,2005,FALSE,185
Strangers In The Night,8,1966,FALSE,184
hot girl bummer,26,2020,FALSE,185
Love You Like A Love Song,83,2012,FALSE,183
Meet Me Halfway,58,2023,FALSE,0
We Don't Talk Anymore - 2001 Remaster,45,1980,FALSE,185
Another Night,63,1995,FALSE,172
Dark Lady,33,1974,FALSE,2
The Rock And Roll Waltz,10,1964,FALSE,184
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",36,2012,FALSE,4
Break It To Me Gently,26,1963,FALSE,184
Party Girl,64,2020,FALSE,185
Washington Square,75,1963,FALSE,2
Little Bitty Girl,96,2021,FALSE,184
Bad Moon Rising,24,1969,FALSE,184
lately - Demo,31,2022,FALSE,185
Just Fine,82,2008,FALSE,184
Ole Buttermilk Sky,35,2000,FALSE,185
Sweet Little Sixteen,29,1958,FALSE,184
"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970",77,2021,FALSE,184
No More Tears,38,1991,FALSE,185
Venus,33,1970,FALSE,185
That's The Way Love Is,72,1969,FALSE,184
Al di lÃ ,48,2016,FALSE,185
Master Blaster (Jammin'),69,2023,FALSE,88
Passionfruit,65,2017,FALSE,184
Goodnight Irene,1,1996,FALSE,3
Love Me Tender,15,2002,FALSE,185
Nights In White Satin - Single Version / Mono,32,1972,FALSE,184
Are You Jimmy Ray?,65,1998,FALSE,185
Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),86,2009,FALSE,182
Too Little Too Late,72,2006,FALSE,185
Dust in the Wind,39,1978,FALSE,185
I Don't Need You,44,1981,FALSE,184
Turn It Up / Fire It Up - Remix,73,2001,FALSE,171
Woo Hah!! Got You All in Check,57,1996,FALSE,167
Foolish Little Girl,47,2005,FALSE,185
Uptown Funk (feat. Bruno Mars),1,2015,FALSE,185
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",23,1998,FALSE,183
"Baby, I Love Your Way - Live",89,1976,FALSE,184
DNA.,62,2017,FALSE,184
Back Here,33,2000,FALSE,15
Justified & Ancient,86,2021,FALSE,185
I Hate Myself for Loving You,85,1988,FALSE,185
I Miss You,57,1994,FALSE,183
Tennessee,40,1992,FALSE,184
Step by Step,33,1990,FALSE,185
Comin' In and out of Your Life,74,1982,FALSE,185
It's So Hard To Say Goodbye To Yesterday,37,2009,FALSE,184
To Be With You - 2021 Remastered,12,1992,FALSE,185
I Wish,87,2001,FALSE,185
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),34,2004,FALSE,185
If I Knew You Were Comin' I'd've Baked a Cake,11,1952,FALSE,185
Lady Willpower,34,1968,FALSE,185
I Made It (Cash Money Heroes),80,2010,FALSE,122
Do You Believe in Magic?,89,1965,FALSE,185
Sexy Eyes - Single Version,25,1992,FALSE,184
All By Myself,40,1976,FALSE,185
How to Save a Life,27,2006,FALSE,185
3,87,2009,FALSE,185
Heaven Help Me,94,2010,FALSE,185
Sober,38,2023,FALSE,185
Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,41,2017,FALSE,185
Vision of Love,6,1990,FALSE,185
Somebody,41,2015,FALSE,183
Next To Me,88,2013,FALSE,1
Missing - 2013 Remaster,12,1996,FALSE,184
Fuck You,7,2011,FALSE,3
Daydream Believer,94,1968,FALSE,185
Every Time I Close My Eyes (with Kenny G),26,1997,FALSE,185
Baby I Need Your Loving,57,1965,FALSE,184
Margaritaville,14,1977,FALSE,184
Here Comes My Baby,89,1967,FALSE,0
"Bend Me, Shape Me - Single Version",98,2006,FALSE,184
Enjoy the Silence,66,2020,FALSE,0
Irreplaceable,1,2007,FALSE,181
My Best Friend,83,2000,FALSE,185
Make It Happen,42,1992,FALSE,185
Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],8,2013,FALSE,185
Everybody Talks,22,2012,FALSE,175
Born to Be With You,37,2010,FALSE,0
"Bump, Bump, Bump (feat. P. Diddy)",22,2003,FALSE,2
Suga Suga,77,2003,FALSE,79
Love Lockdown,44,2009,FALSE,183
(We're Gonna) Rock Around The Clock,2,1955,FALSE,184
Sunny Came Home,39,1997,FALSE,183
No More Drama,79,2002,FALSE,184
Good Vibrations,20,1991,FALSE,166
Replay,25,2010,FALSE,112
I Found Someone,94,1988,FALSE,184
Wildest Dreams (Taylor's Version),57,2021,FALSE,184
Sexy And I Know It,13,2012,FALSE,4
How You Gonna See Me Now,87,1979,FALSE,184
No Matter What Shape (Your Stomach's In),59,2010,FALSE,182
Go Away Little Girl,80,1965,FALSE,0
Karaoke - Landslide,35,2005,FALSE,182
Partition,95,2014,FALSE,185
Addict,40,2020,FALSE,0
Bootylicious,42,2001,FALSE,184
Just A Girl,68,1996,FALSE,184
One Less Bell To Answer,98,1971,FALSE,185
Save Your Heart For Me,59,1965,FALSE,184
Green-Eyed Lady,30,1970,FALSE,183
Nobody's Supposed to Be Here,99,1998,FALSE,181
I Feel for You,5,1985,FALSE,184
Rude Boy,15,2010,FALSE,182
When She Cries,76,1998,FALSE,185
My House,14,2016,FALSE,169
The Most Beautiful Girl In the World,19,1995,FALSE,185
Tweedle Dee,16,1996,FALSE,184
Vaya Con Dios,2,1953,FALSE,174
Walk It Out,30,2007,FALSE,0
Take It to the Limit - 2013 Remaster,25,1976,FALSE,170
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",12,2017,FALSE,2
Twenty Five Miles,69,1969,FALSE,184
"Me, Myself and I",26,2004,FALSE,181
Jambalaya (On The Bayou),15,2002,FALSE,184
Playground In My Mind - Single Version,12,1973,FALSE,6
Rollout (My Business),77,2002,FALSE,166
Run This Town,31,2009,FALSE,184
Lay Down (Candles In The Rain) - Long Version,23,1999,FALSE,184
With A Little Luck - Remastered 1993,18,1978,FALSE,184
Like a Boy,68,2007,FALSE,170
A Tree In The Meadow - Remastered 1990,4,1954,FALSE,182
SexyBack (feat. Timbaland),9,2006,FALSE,185
Melody Of Love,12,1957,FALSE,184
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],76,2016,FALSE,185
Hocus Pocus,69,2001,FALSE,185
Friday I'm in Love,71,1992,FALSE,2
Best I Ever Had,22,2009,FALSE,184
God's Country,53,2019,FALSE,185
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",8,1999,FALSE,113
4 Minutes (feat. Justin Timberlake & Timbaland),23,2009,FALSE,145
When Will I Be Loved,47,1975,FALSE,184
Dream About You - Pop Mix,92,1995,FALSE,181
I Do,58,1998,FALSE,3
Same Love (feat. Mary Lambert),43,2013,FALSE,182
Read Your Mind,64,2004,FALSE,184
Louie Louie,99,2006,FALSE,182
Wrecking Ball,18,2013,FALSE,185
Shawty (feat. T Pain),60,2007,FALSE,184
Spinning Wheel,27,1969,FALSE,185
Take a Bow,8,1995,FALSE,184
Into The Night,69,1980,FALSE,163
Take Me Home,56,1979,FALSE,184
Girlfriend,12,2007,FALSE,185
There You'll Be - 2007 Remaster,66,2007,FALSE,184
What You Know,47,2006,FALSE,185
Ain't No Stoppin' Us Now (Karaoke in the style of McFadden & Whitehead),65,2009,FALSE,182
Style,29,2015,FALSE,2
I Wanna Be Bad,84,2001,FALSE,184
The Second Time Around,44,1980,FALSE,51
Love Child,27,1997,FALSE,184
Rags to Riches,19,2011,FALSE,185
Back To The Hotel,78,1992,FALSE,185
Like I Love You,99,2002,FALSE,185
You're All I Need To Get By,82,1968,FALSE,183
I Want You Back - Radio Edit,37,1998,FALSE,185
Roses Are Red (My Love),4,1991,FALSE,84
Here I Am (Just When I Thought I Was Over You),80,1982,FALSE,170
Lips Of An Angel,30,2006,FALSE,102
Kiss an Angel Good Mornin',74,1972,FALSE,185
Green Onions,53,1962,FALSE,183
Ole Buttermilk Sky,15,2000,FALSE,185
Tears in Heaven - Acoustic Live,6,1992,FALSE,185
